label,inc,azi
AF3,31.27697919043383,109.7716471044493
AF4,31.348312544868726,70.27521176821767
AF7,40.2675925983413,120.9700245175382
AF8,40.21713216264299,58.98555087029615
AFz,30.49104516396417,90.0
C1,9.232369599112406,166.53529848141739
C2,9.247147602669681,13.84442605932037
C3,18.137298556897626,173.09264448756312
C4,18.137298556897626,6.907355512436823
C5,26.827909949937276,175.40395673932994
C6,26.82781470049324,4.596059613547084
CP1,11.236973725535595,222.57206067838646
CP2,11.237958949707293,317.4325535928655
CP3,18.7238319871889,204.8767011016229
CP4,18.745126505022583,334.98260706951675
CP5,26.69371368813655,199.0151585068777
CP6,26.648249797184462,341.26991523084394
CPz,7.289982977769073,272.04323487082706
Cz,2.1497227973070747,89.99999999999977
F1,22.463671730894383,108.38756008486189
F2,22.463732017023023,71.61197735015031
F3,26.050536922756912,123.59499840336667
F4,26.050536922756912,56.405001596633326
F5,31.51246081758753,133.56688820561203
F6,31.512460817587595,46.433111794387855
F7,37.68572017005156,139.96179384430468
F8,37.766890856373,40.18454173924789
F9,46.39528706026137,140.0180627651655
F10,46.39528706026137,39.981937234834504
FC1,14.50696457282103,124.78023467202365
FC2,14.50772773262627,55.215425838346846
FC3,20.80144685402518,144.17122124059938
FC4,20.830792561554922,35.9408735137892
FC5,28.505075043274896,152.83884329076432
FC6,28.434139491952045,26.881657805656403
FCz,11.59908012537977,89.46944206113642
FT7,36.80693228143311,156.59642927666675
FT8,36.80693228143311,23.403570723333246
FT9,45.46953994471084,157.64954646187152
FT10,45.45981334449891,22.320618856808323
Fp1,41.36900807184275,105.36277364475058
Fp2,41.45511776586176,74.66882687085251
Fz,21.06956507601546,90.0
Iz,42.0779462504474,269.93858543284693
O1,36.30629077182608,252.02512114649554
O2,36.386376855421915,287.9342862069864
O9,42.117134170359215,250.79019004367063
O10,42.238939354481644,289.1534858485318
Oz,36.696698611938764,269.92957952324923
P1,18.4113684646808,247.52910799368289
P2,18.41166066316795,292.47309030927016
P3,22.60954509601035,230.31226962436844
P4,22.60954509601035,309.68773037563153
P5,28.606176807192284,220.3798102373772
P6,28.606176807192284,319.6201897626228
P7,35.154807746993896,214.5639159403889
P8,35.22643638795098,325.26733468650605
P9,43.450652529673704,215.95342417909433
P10,43.450652529673704,324.0465758209057
PO3,27.250549937923658,247.26480516032103
PO4,27.3200099493425,292.67416728667627
PO6,36.0624095158684,305.6904270809861
PO7,36.08672710818909,234.33655520238432
PO9,42.555688113599054,232.70465663137958
PO10,42.38243589885679,307.4732988749646
POz,26.191880717690378,270.2654742721095
T7,35.9379052023109,176.3694074807645
T8,35.93387584432145,3.5303615833931303
T9,45.07271630413657,169.40058418714148
T10,45.06801547624201,10.567432513767812
TP7,35.38989997333796,196.95505674346563
TP8,35.38989997333796,343.0449432565344
TP9,44.03744751198214,197.15638197368918
TP10,44.030196590812096,342.87420802134966
Gnd,42.078059156650056,89.85375031780399
Ref,16.76912745426822,270.0
