label,inc,azi
Fp1,41.36900807184275,105.36277364475058
F7,37.68572017005156,139.96179384430468
Fp2,41.45511776586176,74.66882687085251
F8,37.766890856373,40.18454173924789
F3,26.050536922756912,123.59499840336667
Fz,21.06956507601546,90.0
F4,26.050536922756912,56.405001596633326
AFz,30.49104516396417,90.0
FC1,14.50696457282103,124.78023467202365
FCz,11.59908012537977,89.46944206113642
FC2,14.50772773262627,55.215425838346846
T8,35.93387584432145,3.5303615833931303
C4,18.137298556897626,6.907355512436823
Cz,2.1497227973070747,89.99999999999977
C3,18.137298556897626,173.09264448756312
T7,35.9379052023109,176.3694074807645
TP9,44.03744751198214,197.15638197368918
CP5,26.69371368813655,199.0151585068777
CP1,11.236973725535595,222.57206067838646
CP2,11.237958949707293,317.4325535928655
CP6,26.648249797184462,341.26991523084394
TP10,44.030196590812096,342.87420802134966
P8,35.22643638795098,325.26733468650605
P4,22.60954509601035,309.68773037563153
Pz,16.76912745426822,270.0
P3,22.60954509601035,230.31226962436844
P7,35.154807746993896,214.5639159403889
O1,36.30629077182608,252.02512114649554
O2,36.386376855421915,287.9342862069864
