label,inc,azi
Fp1,41.04631530356897,105.2551187030578
Fpz,39.6,90.0
Fp2,41.04631530356897,74.74488129694225
AF7,39.97661816612305,121.18497465873838
AF3,31.60268975894299,109.98310652189997
AFz,30.6,90.0
AF4,31.60268975894299,70.01689347810003
AF8,39.97661816612305,58.81502534126162
F7,37.68195854782498,139.84400037508067
F5,31.18990221209422,133.83086067209263
F3,25.95996918334072,123.69006752597977
F1,22.76839915321233,108.43494882292202
Fz,20.7,90.0
F2,22.76839915321233,71.56505117707798
F4,25.95996918334072,56.30993247402023
F6,31.18990221209422,46.16913932790743
F8,37.68195854782498,40.15599962491933
FT7,28.814059068447822,141.34019174590992
FC5,18.5321342537766,150.94539590092285
FC3,12.97998459167036,146.30993247402023
FC1,9.0,126.86989764584405
FCz,7.2,90.0
FC2,9.0,53.13010235415601
FC4,12.97998459167036,33.69006752597977
FC6,18.5321342537766,29.054604099077153
FT8,28.814059068447822,38.65980825409008
T7,36.0,180.0
C5,16.2,180.0
C3,10.799999999999999,180.0
C1,5.3999999999999995,180.0
Cz,0.0,0.0
C2,5.3999999999999995,0.0
C4,10.799999999999999,0.0
C6,16.2,0.0
T8,36.0,0.0
TP7,28.814059068447822,218.65980825409008
CP5,18.5321342537766,209.05460409907715
CP3,12.97998459167036,213.69006752597977
CP1,9.0,233.13010235415598
CPz,7.2,270.0
CP2,9.0,306.869897645844
CP4,12.97998459167036,326.30993247402023
CP6,18.5321342537766,330.94539590092285
TP8,28.814059068447822,321.3401917459099
P7,37.68195854782498,220.15599962491933
P5,31.18990221209422,226.1691393279074
P3,25.95996918334072,236.3099324740202
P1,22.76839915321233,251.56505117707798
Pz,20.7,270.0
P2,22.76839915321233,288.434948822922
P4,25.95996918334072,303.69006752597977
P6,31.18990221209422,313.83086067209257
P8,37.68195854782498,319.84400037508067
PO7,39.97661816612305,238.81502534126162
PO3,31.60268975894299,250.01689347810003
POz,30.6,270.0
PO4,31.60268975894299,289.98310652189997
PO8,39.97661816612305,301.1849746587384
O1,41.04631530356897,254.7448812969422
Oz,39.6,270.0
O2,41.04631530356897,285.25511870305775
