label,inc,azi
1,15.73339150878741,90.53173249623956
2,13.182949532119869,39.64744316725182
3,7.763416987862044,322.9916458273574
4,7.763416987862052,217.00835417264258
5,13.183020620833002,140.352812861021
6,26.949784223988907,90.64137126103896
7,25.95633174964962,59.490747241409
8,23.666233446531844,24.316872544914702
9,21.08507079952318,348.76417077560274
10,19.28038841121091,314.3151912173056
11,18.069239077942893,270.03088536501946
12,19.267031490945318,225.7672233991374
13,21.087071047117586,191.2618703500447
14,23.643649598997047,155.63259992103872
15,25.959848047941882,120.47984996967978
16,37.92621620063249,74.33853648520642
17,36.09240005661782,39.19792270545105
18,33.628188569427955,3.186388342129362
19,30.974147894370578,330.09923615910947
20,29.222183687222135,290.1431518048896
21,29.23711314752658,249.8880045103204
22,30.980307343233896,209.9564913615283
23,33.618509476602334,176.81269331861108
24,36.07875870713672,140.80428234688839
25,37.91952259907592,105.67965714678417
26,46.13950415024465,22.845341570885523
27,43.69710149147323,345.1014773095252
28,41.427655649636,309.10646971753454
29,40.500263200640305,269.79343705661245
30,41.43525272810857,230.90206897987449
31,43.70211585725557,194.92321253731936
32,46.12155240123556,157.1452628290317
Gnd,36.60579716788047,89.98475446330144
Ref,4.050020948230375,89.86220427927799
